"sample","NZ_CP045108","NZ_CP045109","NZ_CP045110"
"SRR3170255",2267,265,1075506
"SRR3170256",2803,319,1077427
"SRR3170260",949,359,1103875
"SRR3170261",928,1243,667032
"SRR3170262",0,523,669011
"SRR3170264",0,0,607046
"SRR3170266",0,0,654327
"SRR3170267",321,0,587610
"SRR3170587",0,0,383165
"SRR3170588",383,142,402107
"SRR3170589",0,0,377641
"SRR3170590",0,0,389026
"SRR3170591",0,0,369217
"SRR3170592",1030,319,370924
"SRR3170593",0,0,332894
"SRR3170594",201,0,357211
"SRR3170595",0,44,353959
"SRR3170596",355,165,391312
"SRR3170597",0,0,438406
"SRR3170598",0,0,409458
"SRR3170599",289,132,336458
"SRR3170600",459,180,410569
"SRR3170601",236,136,351963
"SRR3170602",0,0,564427
"SRR3170603",853,878,681669
"SRR3170604",135,0,615931
"SRR3170605",414,191,348860
"SRR3170606",0,0,389398
"SRR3170608",455,122,391728
"SRR3170609",82,0,355206
"SRR3170610",569,122,399472
"SRR3170733",1232,397,420126
"SRR3170734",1293,677,273309
"SRR3170735",344,808,400953
"SRR3170736",1882,1106,319529
"SRR3170737",614,252,325350
"SRR3170738",402,218,338040
"SRR3170739",1082,271,278693
"SRR3170740",0,0,449136
"SRR3170768",792,419,575344
"SRR3170770",2322,616,729543
"SRR3170771",2251,552,754397
"SRR3170772",2183,653,668468
"SRR3170773",2112,591,605837
"SRR3170774",1806,1925,621090
"SRR3170775",3560,993,628400
"SRR3170776",1252,1275,596123
"SRR3170777",3466,963,690454
"SRR3170778",2686,697,720863
"SRR3170779",885,948,412723
"SRR3170780",1059,1085,560880
"SRR3170781",1086,1081,589745
"SRR3170783",708,792,329305
"SRR3170784",929,1529,572525
"SRR3170785",1089,1160,543411
"SRR3170786",3030,747,587946
"SRR3170788",1171,1172,700639
"SRR3197175",354,0,512559
"SRR3197589",270,1542,324456
"SRR3197590",715,0,391418
"SRR3197591",0,0,421986
"SRR3197595",213,0,342890
"SRR3197603",0,0,396355
"SRR3197606",510,163,413761
"SRR3197607",258,0,110054
"SRR3197608",1831,0,341842
"SRR3216437",170,0,442011
"SRR3217267",592,0,564377
"SRR3217272",2817,459,742595
"SRR3217324",882,174,720874
"SRR3217328",750,290,812540
"SRR3217329",498,0,682131
"SRR3217390",457,0,809566
"SRR3217394",733,3153,588536
"SRR3217399",0,0,775178
"SRR3217405",204,662,415746
"SRR3217406",270,314,429639
"SRR3217407",1522,492,763206
"SRR3218383",193,139,858659
"SRR3218389",1707,352,794455
"SRR3218394",0,1056,755719
"SRR3218397",88,0,627569
"SRR3218399",354,1990,696241
"SRR3222486",0,1195,320231
"SRR3222487",1585,0,538800
"SRR3222489",3694,0,597267
"SRR3222491",3498,0,445775
"SRR3223161",0,86,540172
"SRR3223164",0,0,1058018
"SRR3223165",526,1649,781143
"SRR3223167",0,0,461081
"SRR3223170",1977,598,732673
"SRR3223172",1367,0,523905
"SRR3223173",0,0,830336
"SRR3223469",0,0,760629
"SRR3223470",0,167,421043
"SRR3223472",0,0,535389
"SRR3223479",1438,306,654053
"SRR3223481",214,0,700329
"SRR3223482",6348,1310,725484
"SRR3223485",1225,248,582461
"SRR3223552",0,0,871457
"SRR3223554",3621,5337,605675
"SRR3223557",1309,309,703112
"SRR3223558",661,166,527198
"SRR3223560",4812,0,1243250
"SRR3223562",1237,271,692026
"SRR3223911",2556,0,564220
"SRR3223912",0,0,524290
"SRR3223913",2436,0,944746
"SRR3223915",1285,357,333603
"SRR3223919",1010,192,729813
"SRR3223920",250,0,613813
"SRR3223924",6392,8846,843218
"SRR3224230",319,59,442756
"SRR3224233",0,0,735609
"SRR3224234",741,0,674898
"SRR3224235",3688,5350,540005
"SRR3224236",2058,329,619963
"SRR3224237",0,1251,1245679
"SRR3224240",0,0,688417
"SRR3224796",0,0,828176
"SRR3224798",1400,318,544463
"SRR3224801",2276,583,805640
"SRR3224803",1935,401,880225
"SRR3224808",473,193,454928
"SRR3224984",2735,0,540327
"SRR3224988",0,732,531346
"SRR3224989",1197,0,677968
"SRR3224993",0,0,550210
"SRR3224994",0,0,712283
"SRR3224996",1023,262,687315
"SRR3225003",610,224,607904
"SRR3225042",0,0,541496
"SRR3225043",990,0,558164
"SRR3225044",319,1956,712187
"SRR3225046",1221,0,895571
"SRR3225048",380,1385,729791
"SRR3225049",3883,5914,541282
"SRR3225059",209,0,531078
"SRR3225230",870,329,643413
"SRR3225231",2408,0,580395
"SRR3225233",743,141,606883
"SRR3225236",636,904,728615
"SRR3225238",250,0,568581
